#call	nova-list	cinder-list
1	1.32	1.34
2	0.96	0.94
3	0.89	0.88
4	0.88	0.89
5	0.93	1.06
6	1.09	1.15
7	1.03	1.02
8	1.03	1.02
9	1.66	1.31
10	1.02	1.01
11	1.07	1.01
12	1.08	1.07
13	1.34	1.05
14	1.02	1.01
15	1.02	1.08
16	1.03	1.07
17	1.05	1.03
18	1.03	1.74
19	1.04	1.33
20	1.42	1.04
21	1.01	1.01
22	1.00	1.01
23	1.02	1.00
24	1.01	1.00
25	1.02	1.04
26	1.15	1.03
27	1.02	1.02
28	1.04	1.03
29	1.13	1.31
30	1.01	1.02
31	1.02	3.07
32	1.02	1.05
33	1.01	1.02
34	1.05	1.09
35	1.03	1.06
36	1.26	1.00
37	1.03	1.02
38	1.02	1.02
39	1.04	1.07
40	1.01	1.02
41	1.05	1.28
42	1.01	1.33
43	1.52	1.75
44	1.22	1.62
45	1.08	1.01
46	1.30	1.03
47	1.02	1.00
48	1.05	1.08
49	1.02	1.47
50	1.03	1.01
51	1.01	1.01
52	1.01	1.02
53	1.00	1.01
54	1.02	1.07
55	1.08	1.03
56	1.26	1.01
57	1.06	1.72
58	1.57	1.02
59	1.05	12.05
60	4.30	3.02
61	4.18	2.32
62	3.49	1.41
63	1.01	6.57
64	26.76	1.03
65	1.24	1.28
66	1.08	1.01
67	1.05	1.01
68	1.02	1.00
69	1.02	1.01
70	1.01	1.26
71	1.03	1.31
72	1.50	1.09
73	0.99	1.01
74	1.00	1.04
75	1.02	3.47
76	1.53	1.02
77	1.05	1.02
78	1.00	1.04
79	1.02	1.04
80	1.19	1.03
81	1.09	1.45
82	1.00	1.00
83	1.01	1.00
84	1.06	1.17
85	1.01	1.51
86	1.26	1.02
87	1.75	1.31
88	1.01	0.92
89	0.88	1.37
90	0.87	0.87
91	0.88	0.87
92	0.92	0.88
93	0.87	1.13
94	0.88	0.91
95	0.88	0.91
96	0.88	0.90
97	0.88	0.92
98	1.13	0.89
99	0.89	0.89
